"First Name",Country,ga_first_name,ga_gender,ga_accuracy,ga_samples
Christian,Germany,Christian,male,100,86
M,Germany,,,,
Christopher,USA,Christopher,male,100,26017
Pompi,UK,Pompi,female,62,58
Cotinica,Switzerland,,,,
David,Canada,David,male,100,5841
Sergio,Argentina,Sergio,male,99,2119
Michael,Germany,Michael,male,100,30913
Laurent,UK,Laurent,male,97,55808
Wei,Switzerland,Wei,male,94,16
Bruce,USA,Bruce,male,100,6899
József,USA,József,male,100,24
Margit,UK,Margit,female,99,2523
Gemma,UK,Gemma,female,99,13873
Nak,Korea,Nak,male,83,216
Magnus,Germany,Magnus,male,99,183
Christiane,Austria,Christiane,female,97,108
Qing,USA,Qing,unknown,50,62
Teresa,Germany,Teresa,female,97,539
Cyril,France,Cyril,male,99,17804
Pascal,Germany,Pascal,male,99,4323
Hajime,Japan,Hajime,male,98,304
Yue,China,Yue,female,54,508
Birgit,Germany,Birgit,female,99,3122
Matthias,Germany,Matthias,male,100,9451
Shohei,Japan,Shohei,male,100,267
Martyn,UK,Martyn,male,99,2133
Wei-Jing,China,Jing,female,78,1267
Jianling,China,Jianling,female,75,4
Katherine,USA,Katherine,female,99,7045
Sunghyun,"South Korea",Sunghyun,male,95,97
Shoichi,Japan,Shoichi,male,100,125
Hyunjung,Korea,Hyunjung,female,91,119
Yosra,USA,Yosra,female,100,13
Mukund,USA,Mukund,male,100,29
Andrew,USA,Andrew,male,100,34858
Philipp,Germany,Philipp,male,99,5871
Shingo,Japan,Shingo,male,99,375
Chia-Wei,Taiwan,Chia-Wei,male,57,14
Bi-Jie,China,Bi,male,83,12
Rosalba,Italy,Rosalba,female,98,1492
Martin,Germany,Martin,male,99,14619
Jovanny,Argentina,Jovanny,male,75,4
Zijian,USA,Zijian,male,75,4
Jason,USA,Jason,male,100,39059
Holger,Germany,Holger,male,100,4362
Yao-Ting,Taiwan,Yao-Ting,male,100,3
Hiroshi,Japan,Hiroshi,male,99,1448
Ralf,Germany,Ralf,male,99,7883
Olivier,France,Olivier,male,99,36743
Lin,China,Lin,female,50,1431
Bartłomiej,USA,Bartłomiej,male,100,10
Dariusz,Germany,Dariusz,male,99,264
Vincent,USA,Vincent,male,100,4308
Mai-Yan,China,Yan,female,69,1535
John,USA,John,male,100,65535
David,UK,David,male,99,381770
Jan,UK,Jan,male,92,104026
Jens,Germany,Jens,male,99,9230
Delina,Israel,Delina,female,95,129
Peng,China,Peng,male,85,704
Björn,Germany,Björn,male,99,3792
Gabor,USA,Gabor,male,100,45
Yasuhiro,Belgium,Yasuhiro,male,100,455
Taro,Japan,Taro,male,98,362
Zachariah,USA,Zachariah,male,100,8727
Jeffrey,Netherlands,Jeffrey,male,99,2359
Chiyoung,"South Korea",Chiyoung,male,75,8
Steven,Canada,Steven,male,99,1236
Tian,China,Tian,male,62,367
Bing,China,Bing,male,71,379
Roberto,Denmark,Roberto,male,100,21
Jason,USA,Jason,male,100,39059
Salprima,Okayama,,,,
Jianfeng,USA,Jianfeng,male,100,9
Ishu,USA,Ishu,male,67,6
Grigore,UK,Grigore,male,90,442
Feng,UK,Feng,male,81,1386
Rui,UK,Rui,male,98,25872
Roberto,USA,Roberto,male,99,2676
Zhengquan,USA,Zhengquan,male,100,5
Andreas,UK,Andreas,male,99,44818
Brett,Canada,Brett,male,98,418
Wen-Xiong,Japan,Wen,male,61,23
Sang,USA,Sang,male,92,174
Masaki,Japan,Masaki,male,99,681
Nobuhiro,Japan,Nobuhiro,male,100,113
Amir,Canada,Amir,male,100,243
Norito,USA,Norito,male,100,18
Soushi,Japan,Soushi,male,100,9
Philip,UK,Philip,male,99,21773
Masahiro,Japan,Masahiro,male,100,703
Miao,China,Miao,female,60,194
Modhu,Germany,Modhu,male,85,13
Maxim,Russia,Maxim,male,100,2665
Julie,France,Julie,female,97,34461
Alexander,Germany,Alexander,male,98,11884
Youli,USA,Youli,female,75,4
Jan,Germany,Jan,male,99,10566
Nicolas,France,Nicolas,male,99,55561
Jian,China,Jian,male,93,610
Nicholas,USA,Nicholas,male,100,10460
Vedhagiri,,Vedhagiri,male,100,3
Rongjun,Japan,Rongjun,male,100,4
Wolfgang,Germany,Wolfgang,male,99,7880
Naokazu,Japan,Naokazu,male,100,6
Ying-Ying,USA,Ying,female,85,200
Andreas,Germany,Andreas,male,99,21215
Eric,Fax:,Eric,male,99,121922
Naomi,Switzerland,Naomi,female,100,116
Kajornsak,Japan,Kajornsak,male,95,21
Silvana,Germany,Silvana,female,97,532
Konstantin,Canada,Konstantin,male,100,32
Thomas,USA,Thomas,male,100,20215
Daishirou,Japan,Daishirou,male,75,4
Atsushi,Switzerland,Atsushi,male,75,4
Zachary,USA,Zachary,male,100,6186
Rolf,Germany,Rolf,male,99,3089
Sean,USA,Sean,male,99,17810
Sung,Korea,Sung,male,87,992
Rémi,France,Rémi,male,99,5102
Tommaso,Italy,Tommaso,male,99,7018
Tobias,Switzerland,Tobias,male,99,548
Claudio,Italy,Claudio,male,99,28144
Tao,China,Tao,male,89,751
Jun,USA,Jun,male,86,387
Toshiki,Japan,Toshiki,male,99,146
Sylvestre,France,Sylvestre,male,94,238
Xihe,Germany,Xihe,male,75,4
Edward,UK,Edward,male,99,24073
Jung,Korea,Jung,male,71,1477
Rannveig,Norway,Rannveig,female,94,17
U,USA,,,,
Satoshi,Japan,Satoshi,male,100,1038
Dominik,Austria,Dominik,male,100,1144
Ling-Guang,China,Guang,male,93,146
Jagdeep,Switzerland,Jagdeep,male,75,4
Joachim,Germany,Joachim,male,99,2809
Yong-Xing,China,Yong,male,95,502
Evan,USA,Evan,male,98,6584
Zongwu,Canada,Zongwu,male,75,4
Gen,Singapore,Gen,female,69,16
Ki,Korea,Ki,male,69,1131
